Program Name,Flatpaked?
gnome-software,FALSE
gnome-disks,FALSE
simple-scan,FALSE
yelp,FALSE
gnome-abrt,FALSE
gnome-screenshot,FALSE
snome-system-monitor,FALSE
gnome-terminal,FALSE
gnome-control-center,FALSE
gnome-tour,FALSE
alacarte,FALSE
nautilus,FALSE
gnome-clocks,TRUE
gnome-maps,TRUE
gedit,TRUE
gnome-weather,TRUE
gnome-photos,TRUE
gnome-calendar,TRUE
gnome-contacts,TRUE
libreoffice,TRUE
gnome-boxes,TRUE
cheese,TRUE
rhythmbox,TRUE
totem,TRUE
gnome-calculator,TRUE
gnome-characters,TRUE
baobab,TRUE
evince,TRUE
gnome-font-viewer,TRUE
eog,TRUE
gnome-logs,TRUE
firefox,TRUE
